English,Tagalog,Cuyunon
Do you know where this is,Alam mo ba kung saan ito,Alaman mo kong aden tegen dya
Do you know how to get here,Alam mo ba kung paano pumunta dito,Alaman mo pasamuro kapakon dege
how much,magkano,Tag pira
What is this place,Anong lugar to,banwa dya
good morning,Magandang umaga,mayad nga aga
good evening,Magandang hapon,mayad nga hapon
good evening,Magandang gabi,mayad nga gabii
good afternoon,Magandang tanghali,mayad nga ugto
I am from,Ako ay tiga,Ako gali taga
Where are you from,Tiga saan ka,Taga den kaw
how are you,Kamusta ka,kumusta kaw
how,paano,parasaeno
Thank you,Salamat,salamat gid
Thank you very much,Maraming Salamat,Matamang salamat
You’re welcome,Walang anuman,Walay problema
Sorry,Paumanhin,Pasensya nged
I don’t know cuyonon,Hindi ako marunong mag cuyonon,Indi ako kaelam ag cuyonon
Is it far,Malayo po ba ito,Maraye kab pa kabay dya
Is this the right way,Tama po ba ang daan na ito,Tama kabay ang dalan ngaa dya
Is it close,Malapit lang po ba,Marapit lang kabay
Can you help me,Pwede po ba ninyo akong tulungan,Pwede nindo ba akong tabedan
Do you have a vacant room,May bakante po ba kayong kuwarto,May bakante pa kam na kwarto
How much is the room per night,Magkano po ang kuwarto kada gabi,Tag pira ra ang kwarto kada gabii
Can I check in now,Pwede po bang mag check in ngayon,Pwede man gid makapag check in dade
Can I check out early,Pwede po bang mag check out nang maaga,Pwede man daya mag check out maga
How much is the fare,Magkano po ang pamasahe,Tag pira ang pliti
Can I see the menu,Pwede po bang makita ang menu,paseleng ang menu
What's delicious here,Ano po ang masarap dito,Ano kabay masabor dege
I am lost,Nawawala po ako,Nadudura ako
Road,Daan,Dalan
is this,ito,ini
fee,bayad,bayad
Like,Gusto,Alyagan
wise,marunong,Kaelam
go,pumunta,Mapakon
speak,magsalita,Mag lemieg
What,Ano,ano
morning,umaga,timprano
noon,tanghali,ogto
afternoon,hapon,apon
night,gabi,gabi
fare,pamasahe,plinti
rent,renta,plinti
Better,mabuti,matinlo
This,Ito,dade
that,ayan,ko
I,ako,ako
Lost,Nawala,nadora
yours,niyo,kanimo
Help,Tulong,tabang
handsome,gwapo,goapo
okay,pwede,pwede
"Yes, please",Pwede po,Pwede man
because,dahil,tenged
Welcome,Maligayang pagdating,Malipayeng pagabot
You,ikaw,kaw
age,edad,idad
Beautiful,Maganda,mapostura
Good,Mabuti,Mayad
Where did you buy that,Saan mo nabili yan,Sadin akabakal idan
Buy,bili,bakal
buying,Bumibili,agapamakal
Bought,Binili,akabakal
Purchased,Nakabili,akabakal
Where,Saan,Sadin
Unknown,Hindi Alam,Indi kaelam
No,Hindi,Indi
eat,Kain,Kaen
Eaten,Kumain,akakaenden
go,pumunta,pakon
going,papunta,agapakaron
take,kunin,bel
Visit,Bisitahin,Pakon
Get it,Kunin,Bel
Get,Kumuha,agabel
Taking,Kinukuha,agabelden
Boat,Bangka,baroto
man,lalaki,lalaki
woman,babae,babae
car,kotsi,kotsi
cheap,mura,barato
far,malayo,raye
money,pera,koarta
house,bahay,balay
hunger,gutom,getem
sales,benta,agpabakal
give,bigay,abi
yesterday,kahapon,kagapon
picture,litrato,ritrato
please,pakiusap,Kong manga sarang
jeep,jeep,dyip
your,iyong,imong
to you,sa iyo,imo
raw,hilaw,ilaw
station,istasyon,istasion
wifi,wifi,wifi
spicy,maanghang,arat
food,pagkain,pagkaen
delicious,sarap,sabor
delicious,masarap,masabor
delicious,masasarap,masasabor
tourist,torista,torista
apology,tawad,tawad
ah,ah,abaw
appetite,gana,gana
all,lahat,tanan
again,ulit,doman
almost,halos,kamaite
road,kalsada,kalsada
truck,truck,trak
arrive,makarating,magabot
long,matagal,maboay
For a long time,Matagal tagal,Maboay boay
Agree,Sumang ayon,tama
pocket,bulsa,bolsa
garage,garahe,garahi
language,wika,bisara
language,lenggwahe,bisara
name,pangalan,aran
call,tawag,tawag
lechon,lechon,litson
room,kwarto,koarto
obvious,halata,halata
today,ngayon,dadi
fear,takot,iadlekan
one,isa,Isara
two,dalawa,Darwa
three,tatlo,Tatlo
four,apat,Apat
Five,Lima,Lima
six,anim,Anem
seven,pito,Pito
eight,walo,Walo
nine,Siyam,Siam
Ten,Sampu,Sampolo
I am,ako si,Ako si
me,ako,ako
do you have,Meron ba,mayad pa
do you know,alam mo ba,Alaman mo
twenty,dalawampu,dose
thirty,tatlumpu,trese
forty,apatnapu,katorse
fifty,limampu,kinse
sixty,animnampu,disi sais
seventy,pitumpu,disi sieti
eighty,walumpu,disi otso
ninety,siyamnapu,disi nuebe
hundred,daan,gatos
thousand,libo,ribo
million,milyon,milyon
already,na,den
will go,pupunta,mapakon
yes,oo,een
I,ko,ako
really,talaga,matod
disgusting,kadiri,kadasmak
disgusted,nandidiri,nadadasmakan
annoyed,naiinis,kaerep
annoying,nakakainis,Ing eerepan
here,dito,digi
us,tayo,kita
you,mo,mo
you,kayo,kamo
they,sila,sanda
leave,alis,alen
leaving,aalis,magalen
leaving,kaaalis,kakalen
departure,paalis,paaalen
remove,alisin,alinen
will ride,sasakay,masakay
vehicle,sasakyan,sarakayan
or,o,o
and,at,pati
is,ay,ay
are,ay,ay
bus,bus,bus
airplane,eroplano,eroplano
tricycle,traysikel,traysikel
jeep,dyip,dyip
motorcycle,motorsiklo,motorsiklo
arrived,nakarating,agabot
a lot,marami,marake
many,marami,marake
there,doon,duto
there,diyan,dyan
cold,malamig,maramig
hot,mainit,mayet
he,niya,kanana
she,niya,kanana
too,din,den
too,masyadong,masyado ngeg
share,hati,tienga
for,para,para
just,na lang,na lang
restaurant,restawran,restawran
dish,ulam,sera
serve,handa,handa
in,nasa,asa
refuse,ayaw,ayaw
don’t want,ayaw,ayaw
waiter,weyter,surugon
taste,tikim,samet
taste,tikman,sametan
taste,titikman,sasametan
wait,hintay,elat
wait,sandali,arawaey
waiting,naghihintay,agaelat
for a while,saglit,arawaey
duration,tagal,bwaey
A long time,katagal,ang bwaey
fast,bilis,daseg
faster,bilisan,dasegan
just,lang,lang
that,iyon,iyon
to you,sa iyo,kanimo
just because,basta,basta
have,may,may
anywhere,kahit saan,maske aden
anytime,kahit kailan,maske inuro
anyone,kahit sino,maske sino
anything,kahit ano,maske ano
know,alam,alaman
come on,tara,tara
swim,langoy,langoy
bath,ligo,paregos
drown,lunod,limis
fish,isda,isda
mad,baliw,buang buang
angry,galit,silag
sad,lungkot,beken maabeng
sad,malungkot,beken maambeng
fear,takot,adlek
pork,baboy,baboy
chicken,manok,manok
beef,baka,baka
duck,bibe,bibe
dog,aso,cho
cat,pusa,kuti
bat,paniki,kulalaenet
bird,ibon,langgam
butterfly,Paru paro,Paru paro
cockroach,ipis,dalomaseg
ant,langgam,aripotos
mouse,daga,ambie
monkey,unggoy,unggoy
frog,palaka,pangka
cow,baka,baka
carabao,kalabaw,karabao
horse,kabayo,kabayo
smelly,mabaho,maburo
ugly,panget,marimo
ugly,pangit,marimo
dirty,madumi,maboring
messy,makalat,marikot
tomorrow,bukas,aruman
hard,matigas,matigas
time,oras,oras
open,buksan,abreayan
heavy,mabigat,mabiegat
light,ilaw,solo
the,ang,ang
water,tubig,tubig
borrow,hiram,belis
tired,pagod,pilay
awake,puyat,puyat
stop,tigil,tadeing
stop,tumigil,tadeing
drink,inumin,inomen
nothing,wala,ara
Sir,Ser,Ser
Ma’am,Ma’am,Mam
sister,ate,ate
brother,kuya,kuya
mother,nanay,nanay
father,tatay,tatay
Who,Sino,Sino
When,Kailan,Inuro
Why,Bakit,Ayamo
sure,sigurado,sigurado
our,atin,aten
ours,sa atin,kanaten
discount,tawad,tawad
sorry,pasensya,pasensya
spicy,maanghang,maarat
sweet,matamis,matamis
salty,maalat,masin
bitter,mapait,mapaet
bland,matabang,malasay
sour,maasim,maslim
mine,akin,kanakan
goodbye,paalam,paelam
their,kanila,kananda
theirs,sa kanila,kananda
his,kaniya,kanana
her,kaniya,kanana
him,siya,tana
she,siya,tana
he,siya,tana
hers,sa kanya,kanana
was,ay,ay
has,may,may
We,tayo,kita
It,ito,dya
scared,natakot,nadlek
scary,nakakatakot,ing aadlekan
sad,nalulungkot,ara lelepayan
crying,umiiyak,agatangis
cried,umiyak,agtangis
Monday,Lunes,Lunes
Tuesday,Martes,Martes
Wednesday,Miyerkules,Miyerkules
Thursday,Huwebes,Huwebes
Friday,Biyernes,Biyernes
Saturday,Sabado,Sabado
Sunday,Linggo,Domingo
January,Enero,Enero
February,Pebrero,Pebrero
March,Marso,Marso
April,Abril,Abril
May,Mayo,Mayo
June,Hunyo,Hunyo
July,Hulyo,Hulyo
August,Agosto,Agosto
September,Septiyembre,Septiyembre
October,Oktubre,Oktubre
November,Nobyembre,Novembre
December,Disyembre,Disyembre
given,binigay,Ingtaw
gave,binigay,ing abot
gave,binigay,Ingtaw
giving,pagbibigay,ingtataw
chance,pagkakataon,chimpo
work,trabaho,trabaho
vacation,bakasyon,bakasyon
extend,pahabain,palabegen
near,malapit,marapit
joy,tuwa,kadlaw
smile,ngiti,ngirit
